Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,State,City,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,profit_Margin
ORD-10000,05-05-2024,05-08-2024,CUST-143,Customer 378,Consumer,India,Telangana,Hyderabad,PROD-347,Furniture,Bookcases,Bookcases Model 48,53541.56,2,0.2,3513.16,6.56
ORD-10001,9/15/2024,9/21/2024,CUST-028,Customer 288,Consumer,India,Tamil Nadu,Chennai,PROD-367,Furniture,Tables,Tables Model 42,42109.37,7,0.05,3783.18,8.98
ORD-10002,6/23/2024,6/27/2024,CUST-160,Customer 111,Corporate,India,Kerala,Kochi,PROD-053,Furniture,Furnishings,Furnishings Model 6,22857.65,6,0.1,1617.07,7.07
ORD-10003,07-12-2024,7/14/2024,CUST-566,Customer 151,Home Office,India,Tamil Nadu,Madurai,PROD-317,Office Supplies,Paper,Paper Model 24,34683.39,2,0,6321.14,18.23
ORD-10004,7/13/2024,7/17/2024,CUST-465,Customer 326,Corporate,India,Kerala,Kochi,PROD-084,Furniture,Chairs,Chairs Model 24,21380.71,5,0,3673.77,17.18
ORD-10005,3/24/2024,3/29/2024,CUST-389,Customer 139,Home Office,India,Karnataka,Hubli,PROD-353,Technology,Mobiles,Mobiles Model 36,13254.95,6,0,1269.95,9.58
ORD-10006,02-03-2024,02-06-2024,CUST-936,Customer 483,Home Office,India,Tamil Nadu,Coimbatore,PROD-449,Office Supplies,Pens,Pens Model 46,18949.21,8,0.15,1457.89,7.69
ORD-10007,03-12-2024,3/15/2024,CUST-763,Customer 288,Home Office,India,Telangana,Warangal,PROD-135,Furniture,Bookcases,Bookcases Model 48,35116.7,10,0.15,969.25,2.76
ORD-10008,1/25/2024,1/27/2024,CUST-157,Customer 322,Consumer,India,Karnataka,Hubli,PROD-406,Office Supplies,Paper,Paper Model 44,25387.38,2,0.15,601.08,2.37
ORD-10009,12/14/2024,12/21/2024,CUST-118,Customer 350,Home Office,India,Maharashtra,Nagpur,PROD-385,Office Supplies,Paper,Paper Model 18,46139.06,6,0,5015.32,10.87
ORD-10010,9/13/2024,9/16/2024,CUST-520,Customer 468,Consumer,India,Karnataka,Mysore,PROD-446,Furniture,Bookcases,Bookcases Model 41,17976.84,9,0.2,1981.37,11.02
ORD-10011,11-02-2024,11-06-2024,CUST-501,Customer 10,Consumer,India,Kerala,Kochi,PROD-476,Technology,Laptops,Laptops Model 24,52735.44,5,0.05,610.94,1.16
ORD-10012,02-05-2024,02-11-2024,CUST-785,Customer 65,Consumer,India,Delhi,New Delhi,PROD-338,Furniture,Furnishings,Furnishings Model 31,56816.24,3,0.1,3155.28,5.55
ORD-10013,12/31/2024,01-04-2025,CUST-409,Customer 344,Home Office,India,Delhi,New Delhi,PROD-192,Furniture,Tables,Tables Model 29,53986.88,8,0,5376.07,9.96
ORD-10014,10/28/2024,10/31/2024,CUST-008,Customer 37,Home Office,India,Tamil Nadu,Coimbatore,PROD-324,Furniture,Tables,Tables Model 4,13813.61,1,0.1,494.92,3.58
ORD-10015,4/19/2024,4/25/2024,CUST-136,Customer 371,Home Office,India,Karnataka,Mysore,PROD-296,Technology,Accessories,Accessories Model 31,14655.53,8,0.15,907.44,6.19
ORD-10016,08-04-2024,08-09-2024,CUST-479,Customer 443,Home Office,India,Tamil Nadu,Madurai,PROD-028,Office Supplies,Pens,Pens Model 44,39241.98,2,0,5122.03,13.05
ORD-10017,04-07-2024,4/13/2024,CUST-460,Customer 72,Corporate,India,Kerala,Kochi,PROD-094,Furniture,Tables,Tables Model 18,27811.42,2,0.15,1713.31,6.16
ORD-10018,2/17/2024,2/20/2024,CUST-171,Customer 209,Corporate,India,Delhi,New Delhi,PROD-247,Furniture,Chairs,Chairs Model 14,51892.56,1,0.05,3933.18,7.58
ORD-10019,08-04-2024,08-11-2024,CUST-981,Customer 375,Home Office,India,Maharashtra,Pune,PROD-339,Office Supplies,Pens,Pens Model 46,29251.62,4,0.1,188.96,0.65
ORD-10020,06-09-2024,06-11-2024,CUST-052,Customer 300,Corporate,India,Tamil Nadu,Madurai,PROD-258,Technology,Laptops,Laptops Model 34,9530.22,9,0,2099.21,22.03
ORD-10021,7/25/2024,7/27/2024,CUST-965,Customer 456,Home Office,India,Tamil Nadu,Madurai,PROD-127,Furniture,Tables,Tables Model 38,35711.7,10,0,4779.83,13.38
ORD-10022,12-08-2024,12/15/2024,CUST-322,Customer 123,Corporate,India,Delhi,New Delhi,PROD-203,Office Supplies,Binders,Binders Model 9,40334.24,5,0.15,1482.87,3.68
ORD-10023,02-07-2024,2/13/2024,CUST-219,Customer 260,Corporate,India,Tamil Nadu,Chennai,PROD-068,Office Supplies,Paper,Paper Model 23,52863.76,4,0.1,369.91,0.70
ORD-10024,11-09-2024,11/16/2024,CUST-542,Customer 5,Home Office,India,Maharashtra,Nagpur,PROD-419,Technology,Printers,Printers Model 36,18032.79,2,0.05,953.81,5.29
ORD-10025,5/19/2024,5/23/2024,CUST-620,Customer 108,Home Office,India,Tamil Nadu,Madurai,PROD-176,Technology,Mobiles,Mobiles Model 14,41281.08,5,0.2,2158.74,5.23
ORD-10026,5/21/2024,5/23/2024,CUST-004,Customer 171,Consumer,India,Tamil Nadu,Chennai,PROD-327,Technology,Accessories,Accessories Model 17,9778.76,8,0.2,86.7,0.89
ORD-10027,12/19/2024,12/22/2024,CUST-559,Customer 19,Corporate,India,Delhi,New Delhi,PROD-299,Furniture,Chairs,Chairs Model 36,8970.82,3,0,1001.61,11.17
ORD-10028,12-07-2024,12-09-2024,CUST-363,Customer 400,Home Office,India,Tamil Nadu,Coimbatore,PROD-453,Furniture,Tables,Tables Model 27,58432.84,3,0.05,10104.27,17.29
ORD-10029,6/19/2024,6/24/2024,CUST-822,Customer 343,Home Office,India,Karnataka,Mysore,PROD-416,Furniture,Tables,Tables Model 16,16081.66,2,0.15,1197.01,7.44
ORD-10030,6/28/2024,07-02-2024,CUST-841,Customer 408,Consumer,India,Maharashtra,Mumbai,PROD-115,Furniture,Furnishings,Furnishings Model 2,39635.99,7,0.1,226.74,0.57
ORD-10031,12/13/2024,12/19/2024,CUST-340,Customer 481,Consumer,India,Tamil Nadu,Coimbatore,PROD-060,Office Supplies,Envelopes,Envelopes Model 17,10796.21,5,0,773.88,7.17
ORD-10032,08-11-2024,8/17/2024,CUST-524,Customer 60,Corporate,India,Maharashtra,Pune,PROD-461,Technology,Printers,Printers Model 37,11485.72,1,0.15,1144.69,9.97
ORD-10033,02-05-2024,02-12-2024,CUST-943,Customer 170,Home Office,India,Delhi,New Delhi,PROD-161,Office Supplies,Envelopes,Envelopes Model 43,50896.12,5,0.2,4486.14,8.81
ORD-10034,10-10-2024,10/13/2024,CUST-197,Customer 216,Home Office,India,Maharashtra,Pune,PROD-482,Office Supplies,Pens,Pens Model 25,40671.34,3,0.2,1471.45,3.62
ORD-10035,5/26/2024,5/29/2024,CUST-441,Customer 403,Home Office,India,Maharashtra,Nagpur,PROD-311,Furniture,Bookcases,Bookcases Model 42,19402.73,8,0.15,681.53,3.51
ORD-10036,12-03-2024,12-05-2024,CUST-291,Customer 264,Home Office,India,Delhi,New Delhi,PROD-325,Technology,Mobiles,Mobiles Model 40,20177.78,4,0.1,102.34,0.51
